Player,Age,ERA,G,GS,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Season
Chad Green,33,3.21,53,0,53.1,41,20,19,8,14,3,46,2,0,129,4.29,1.031,6.9,1.4,2.4,7.8,3.29,2024
Chad Kuhl,31,5.06,31,1,53.1,56,33,30,5,25,1,54,6,0,82,4.1,1.519,9.5,0.8,4.2,9.1,2.16,2024
Anthony Bender,29,4.08,59,0,53,50,25,24,3,18,1,59,4,0,105,2.92,1.283,8.5,0.5,3.1,10,3.28,2024
Luke Jackson,32,5.09,52,0,53,52,33,30,7,26,0,59,2,0,79,4.24,1.472,8.8,1.2,4.4,10,2.27,2024
Jorge López,31,2.89,52,0,53,46,19,17,6,19,1,50,2,0,139,3.94,1.226,7.8,1,3.2,8.5,2.63,2024
Gregory Soto*,29,4.42,66,0,53,56,30,26,4,27,3,65,8,1,94,3.68,1.566,9.5,0.7,4.6,11,2.41,2024
Seth Martinez,29,3.59,44,0,52.2,49,24,21,7,18,1,36,4,2,113,4.78,1.272,8.4,1.2,3.1,6.2,2,2024
Craig Kimbrel,36,5.33,57,0,52.1,40,35,31,7,31,1,73,5,1,73,4.18,1.357,6.9,1.2,5.3,12.6,2.35,2024
Randy Rodríguez,24,4.3,35,1,52.1,47,29,25,4,18,0,53,3,0,91,3.34,1.242,8.1,0.7,3.1,9.1,2.94,2024
José Suarez*,26,6.02,22,3,52.1,57,38,35,7,27,0,56,4,0,70,4.54,1.605,9.8,1.2,4.6,9.6,2.07,2024
John Schreiber,30,3.66,59,0,51.2,48,23,21,1,20,1,46,4,0,113,3.03,1.316,8.4,0.2,3.5,8,2.3,2024
Huascar Brazobán,34,3.83,39,0,51.2,38,26,22,2,25,0,51,3,0,109,3.32,1.219,6.6,0.3,4.4,8.9,2.04,2024
Tyler Ferguson,30,3.68,48,0,51.1,32,23,21,4,24,2,62,2,1,108,3.28,1.091,5.6,0.7,4.2,10.9,2.58,2024
Colin Holderman,28,3.16,55,0,51.1,42,23,18,6,25,0,56,5,0,132,4.26,1.305,7.4,1.1,4.4,9.8,2.24,2024
Elvis Peguero,27,2.98,52,0,51.1,52,22,17,4,27,3,47,2,1,140,4.04,1.539,9.1,0.7,4.7,8.2,1.74,2024
Brennan Bernardino*,32,4.06,57,3,51,50,25,23,6,22,6,56,6,0,103,4.15,1.412,8.8,1.1,3.9,9.9,2.55,2024
Michael Grove,27,5.12,39,2,51,46,31,29,6,16,0,54,6,0,78,3.87,1.216,8.1,1.1,2.8,9.5,3.38,2024
Tanner Rainey,31,4.76,50,0,51,47,28,27,8,29,1,44,4,0,86,5.42,1.49,8.3,1.4,5.1,7.8,1.52,2024
José Ruiz,29,3.71,52,0,51,51,23,21,8,17,1,52,1,0,114,4.22,1.333,9,1.4,3,9.2,3.06,2024
Carmen Mlodzinski,25,3.38,40,4,50.2,41,22,19,3,19,1,46,2,0,124,3.36,1.184,7.3,0.5,3.4,8.2,2.42,2024
Hunter Harvey,29,4.44,49,0,50.2,51,28,25,5,16,2,55,5,0,93,3.52,1.322,9.1,0.9,2.8,9.8,3.44,2024
Landen Roupp,25,3.58,23,4,50.1,43,21,20,2,26,0,47,1,2,110,3.42,1.371,7.7,0.4,4.6,8.4,1.81,2024
Davis Martin,27,4.32,11,10,50,50,25,24,5,23,0,47,5,0,96,4.27,1.46,9,0.9,4.1,8.5,2.04,2024
Eduardo Rodríguez*,31,5.04,10,10,50,56,29,28,8,19,1,47,1,0,84,4.57,1.5,10.1,1.4,3.4,8.5,2.47,2024
